RouteBillID,billNo,date,branch,customer,totalFreight,ExtraFC,ExtraOverload,ExtraStation,TollTax,Commission,localFreight,Detention,Closed,remark,DueDate,EmployeeID,LastEdited,Type,BillType,RTO,FreightPart,Discount,ServiceTax,total,grandTotal,cgst,cgstPercent,sgst,sgstPercent
16178,190,2023-01-02 14:13:24.000,3,5258,12620,0,0,0,0,0,0,0,0,,2023-01-17 14:13:24.000,8,NULL,1,1,0,0,0,0,12620,0,0,0,0,0
16179,191,2023-01-02 15:43:55.000,3,5417,49948,0,0,0,0,0,0,0,0,,2023-01-17 15:43:55.000,8,NULL,1,1,0,0,0,0,49948,0,0,0,0,0
16180,192,2023-01-02 13:31:55.000,3,9990,1065,0,0,0,0,0,0,0,0,,2023-01-17 13:31:55.000,8,NULL,1,1,0,0,0,0,1065,0,0,0,0,0
16181,193,2023-01-02 13:35:32.000,3,8020,24048,0,0,0,0,0,0,0,0,,2023-01-17 13:35:32.000,8,NULL,1,1,0,0,0,0,24048,0,0,0,0,0
16182,194,2023-01-02 13:37:21.000,3,20477,10840,0,0,0,0,0,0,0,0,,2023-01-17 13:37:21.000,8,NULL,1,1,0,0,0,0,10840,0,0,0,0,0
16183,195,2023-01-02 15:04:51.000,3,42224,54371,0,0,0,0,0,0,0,0,,2023-01-17 15:04:51.000,8,NULL,1,1,0,0,0,0,54371,0,0,0,0,0
16184,196,2023-01-02 13:45:12.000,3,8087,3280,0,0,0,0,0,0,0,0,,2023-01-17 13:45:12.000,8,NULL,1,1,0,0,0,0,3280,0,0,0,0,0
16185,197,2023-01-02 13:48:18.000,3,8345,4200,0,0,0,0,0,0,0,0,,2023-01-17 13:48:18.000,8,NULL,1,1,0,0,0,0,4200,0,0,0,0,0
16186,198,2023-01-02 14:03:58.000,3,2877,19958,0,0,0,0,0,0,0,0,,2023-01-17 14:03:58.000,8,NULL,1,1,0,0,0,0,19958,0,0,0,0,0
16187,199,2023-01-02 17:22:15.000,3,9779,6240,0,0,0,0,0,0,0,0,,2023-01-17 17:22:15.000,8,NULL,1,1,0,0,0,0,6240,0,0,0,0,0
16188,200,2023-01-02 14:01:44.000,3,18621,9350,0,0,0,0,0,0,0,0,,2023-01-17 14:01:44.000,8,NULL,1,1,0,0,0,0,9350,0,0,0,0,0
16189,201,2023-01-02 14:19:40.000,3,140,13620,0,0,0,0,0,0,0,0,,2023-01-17 14:19:40.000,8,NULL,1,1,0,0,0,0,13620,0,0,0,0,0
16190,599,2023-01-02 14:23:30.000,1,1218,20290,0,0,0,0,0,0,0,0,,2023-01-17 14:23:30.000,5,NULL,1,1,0,0,0,0,20290,0,0,0,0,0
16191,202,2023-01-02 15:20:31.000,3,8103,7080,0,0,0,0,0,0,0,0,,2023-01-17 15:20:31.000,8,NULL,1,1,0,0,0,0,7080,0,0,0,0,0
16192,203,2023-01-02 14:34:02.000,3,42571,6045,0,0,0,0,0,0,0,0,,2023-01-17 14:34:02.000,8,NULL,1,1,0,0,0,0,6045,0,0,0,0,0
16193,204,2023-01-02 14:36:19.000,3,36437,1610,0,0,0,0,0,0,0,0,,2023-01-17 14:36:19.000,8,NULL,1,1,0,0,0,0,1610,0,0,0,0,0
16194,205,2023-01-02 14:57:43.000,3,24096,8090,0,0,0,0,0,0,0,0,,2023-01-17 14:57:43.000,8,NULL,1,1,0,0,0,0,8090,0,0,0,0,0
16195,206,2023-01-02 16:11:07.000,3,20027,45836,0,0,0,0,0,0,0,0,,2023-01-17 16:11:07.000,8,NULL,1,1,0,0,0,0,45836,0,0,0,0,0
16196,207,2023-01-02 14:47:27.000,3,153,11185,0,0,0,0,0,0,0,0,,2023-01-17 14:47:27.000,8,NULL,1,1,0,0,0,0,11185,0,0,0,0,0
16197,208,2023-01-02 16:24:41.000,3,16469,39085,0,0,0,0,0,0,0,0,,2023-01-17 16:24:41.000,8,NULL,1,1,0,0,0,0,39085,0,0,0,0,0
16198,600,2023-01-03 16:01:20.000,1,2603,41560,0,0,0,0,0,0,0,0,,2023-01-18 16:01:20.000,5,NULL,1,1,0,0,0,0,41560,0,0,0,0,0
16199,601,2023-01-03 15:42:18.000,1,1387,59920,0,0,0,0,0,0,0,0,,2023-01-18 15:42:18.000,5,NULL,1,1,0,0,0,0,59920,0,0,0,0,0
16200,602,2023-01-03 15:59:40.000,1,1388,28900,0,0,0,0,0,0,0,0,,2023-01-18 15:59:40.000,5,NULL,1,1,0,0,0,0,28900,0,0,0,0,0
16201,603,2023-01-03 16:03:30.000,1,105,8300,0,0,0,0,0,0,0,0,,2023-01-18 16:03:30.000,5,NULL,1,1,0,0,0,0,8300,0,0,0,0,0
16202,604,2023-01-03 16:06:22.000,1,14840,4705,0,0,0,0,0,0,0,0,,2023-01-18 16:06:22.000,5,NULL,1,1,0,0,0,0,4705,0,0,0,0,0
16203,605,2023-01-03 13:01:34.000,1,2856,19310,0,0,0,0,0,0,0,0,,2023-01-18 13:01:34.000,5,NULL,1,1,0,0,0,0,19310,0,0,0,0,0
16204,606,2023-01-03 16:23:24.000,1,7779,14070,0,0,0,0,0,0,0,0,,2023-01-18 16:23:24.000,5,NULL,1,1,0,0,0,0,14070,0,0,0,0,0
16205,607,2023-01-03 13:02:40.000,1,43149,91929,0,0,0,0,0,0,0,0,,2023-01-18 13:02:40.000,5,NULL,1,1,0,0,0,0,91929,0,0,0,0,0
16206,608,2023-01-03 16:43:35.000,1,6750,29887,0,0,0,0,0,0,0,0,,2023-01-18 16:43:35.000,5,NULL,1,1,0,0,0,0,29887,0,0,0,0,0
16207,609,2023-01-03 16:49:14.000,1,1230,19950,0,0,0,0,0,0,0,0,,2023-01-18 16:49:14.000,5,NULL,1,1,0,0,0,0,19950,0,0,0,0,0
16208,610,2023-01-03 16:54:47.000,1,36600,24700,0,0,0,0,0,0,0,0,,2023-01-18 16:54:47.000,5,NULL,1,1,0,0,0,0,24700,0,0,0,0,0
16209,611,2023-01-03 16:58:09.000,1,1187,13095,0,0,0,0,0,0,0,0,,2023-01-18 16:58:09.000,5,NULL,1,1,0,0,0,0,13095,0,0,0,0,0
16210,612,2023-01-03 17:00:17.000,1,36626,12420,0,0,0,0,0,0,0,0,,2023-01-18 17:00:17.000,5,NULL,1,1,0,0,0,0,12420,0,0,0,0,0
16211,613,2023-01-03 12:42:27.000,1,5623,6240,0,0,0,0,0,0,0,0,,2023-01-18 12:42:27.000,6,NULL,1,1,0,0,0,0,6240,0,0,0,0,0
