CustomerID,name,address,DoubleLR,PlaceID,phone,email,vendorCode,fax,eccNo,vatNo,cstNo,OpeningBalance,OpeningBalType,OpeningBalDate,ClosingBalance,ClosingBalType,ClosingBalDate,gstNo,
2,Labind Sales Corporation,"T-19, Harivijay, 226-27 Parvati, Pune-411009GST NO. 27ABGPK1805J1ZR",0,1,,,,,,,,0,1,57:25.5,0,1,57:25.5
3,B. G. Bam,"37/2, Prabhat Road, Lane 6 Pune-411004",NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,Pandit Automotive Pvt. Ltd. (tathwade),"49/2 B, Tathwade, Tal. Mulshi, Dist. Pune-411033 Ph. 27273597, 27274598",NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,Acme Foundry Flux Company,"264, Hadapsar Industrial Estaste, Hadapsar, Pune-411013GST NO.27AAEFA6352P1Z2",0,120,,,,,,,,0,1,24:37.1,10610331,1,NULL
7,Jsons Foundry Pvt. Ltd,"G-13, M I D C Kupwad, Sangli.GST NO. 27AAACJ6740K1ZD",0,33,,,,,,,,0,1,27:08.3,7416086,1,00:00.0
8,Sanjay Foundry P.ltd,P.o. Gangadhar,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,Omkar Foundries,"Plot No. J-1 M. I. D. C. Kupwad Block, Sangli- 416436GST NO.27AAAFO2444E1ZM",0,313,,,,,,,,0,1,52:07.8,15258,1,01:01.0
10,Intervalve India Ltd,"94/1, Manjri Budruk, Tal. Haweli, Dist. Pune- 412307",0,216,,,,,,,,00:00.0,1,18:36.7,###############################################################################################################################################################################################################################################################,1,18:36.7
11,Kolhapur Alloys,"R.S. No.603/2, M. I. D. C. Shiroli,  Behind Kolhapur Steel Ltd. KolhapurGST NO. 27AAHFK2778A1ZE",0,21,,,,,,,,0,1,57:27.1,34187,1,01:01.0
12,Yashwant Iron And Steel Works Ltd,"1325/46- B 'e', Ward Shivaji Udyamnagar, KolhapurGST NO: 27AAACY0540N1Z6",0,246,,,,,,,,0,1,08:42.5,13323,1,01:01.0
13,Shree Ajay Engs. Works,Bhosari,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,Amigo Sales Corporation,"Gangadhar Chambers, 314, Narayan Peth, Pune-411030",NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,V- Smart Thermotech Pvt. Ltd.,"Sr. No. 81/5, Behind Samarth Engg, Dangat Patil Industrial Estate, Gound Floor, NDA Road Shivane, Tal. Haweli, Pune - 411041GST NO. 27AACCV0758K1Z1",0,59,,,,,,,,0,1,13:19.9,18654,1,01:01.0
18,Amber Technologies,"17/1 B-1 A-2 Kothrud Indus. Estase, Pune-411029",NULL,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,Arihant Cnc P.ltd,Sanaswadi,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,El- O - Matic India Pvt. Ltd.,"Plot No.32 B, Sr. No. 114, Hadapsar Indus. Estate, Pune- 411013 GST NO: 27AAACE3847J1ZI",0,120,,,,,,,,0,1,01:21.6,19786763,1,NULL
23,Pravin Poly Plast,"Nargis Classic, 47, Mukund Nagar, Near UCO Bank, Pune- 411037",NULL,1,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
24,P. R. Enterprises,Pune,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,Vijayshree Alloys (pune) P.ltd,"Plot No.39, B. U. Bhandri Indus. Estate, Sansawadi, Tal. Shirur, Pune-412208.",NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
26,S. D. Chemicals,Pawar Wasri Pune,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,Ajay Syscon Pvt. Ltd,"Sr. No.147/1&amp;2, Shembekar Industrial Compound, Chinchwad Pune-411019GST NO.AACCA0712C1ZH",0,8,,,,,,,,00:00.0,1,35:57.3,00:00.0,1,01:01.0
28,Viraj Engineers And Exports Pvt. Ltd.,"Gat No.371, Mouze Bhare, Pirangut Tal. Mulshi, Dist. Pune-412111GST NO. 27AAACV6087D1Z8",0,27,,,,,,,,0,1,52:12.5,1848753,1,01:01.0
30,Royal Industrial Product,,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,Mather And Platt Pumps Ltd (chinchwad),"( A Subsidiary Of Wilo Se Gemany) Pune- Mumbai Road, Chichwad, Pune",0,8,,,,,,,,0,1,39:51.3,14495295,1,NULL
33,Kirlosker Oil Ltd,Pune,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,Afcil Industris Limited,"Gat No.907/2/4, Near Kalpesh Weight Brid Sanaswadi, Tal - Shirur Pune .",NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
35,Pioneer Coats,"Gat No.559/2/2, Khed Shivapur Dist- Pune-412205GST NO:27AABFP3926B1ZL",0,224,9881069257,,,,,,,0,1,43:18.8,0,1,43:18.8
37,Kankoo Paints P.ltd,"760b, Khed Shivapur ,pune GST NO -27AAACK8698R1ZD",0,28,,,,,,,,0,1,04:24.9,0,1,04:24.9
39,Vedant Equip Sales And Services P. Ltd (pune),"20/5 D-1 Block, Parshuram Steel Compund, Chinchwad, Pune-411019",0,8,,,,,,,,0,1,05:47.4,227548,1,04:34.0
40,KSB LIMITED. (chinchwad),"Plot No. 28/21, D-2 Block M I D C Chinchwad, Pune- 411018GST NO. 27AAACK5918J1ZC",0,8,,,,,,,,00:00.0,1,34:28.9,00:00.0,1,01:01.0
