ConsignDetailID,ConsignID,InvoiceNo,description,articleNo,article,weight,chargeWeight,rateType,rate,freight,InvoiceValue,GRNDate,GRNNo
391781,290005,NULL,AFCICOAL 32-M,250,2,NULL,10000,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391782,290006,NULL,NULL,2,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391783,290007,NULL,SMART CUP HC,10,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391784,290007,NULL,MINI THERMOCOUPLE,20,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391785,290008,NULL,PAINT,20,25,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391786,290009,NULL,BLACK PAINTS,57,25,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391787,290010,NULL,INSULATING SLEEVE,100,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391788,290011,NULL,CLEANAL 6 & 75,20,2,NULL,1000,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391789,290012,NULL,SLEEVE,86,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391790,290012,NULL,SLEEVE,15,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391791,290013,NULL,SLEEVE,38,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391792,290014,NULL,ISOMOL 7800,30,25,NULL,900,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391793,290015,NULL,RHEOTEC 430,100,11,NULL,3150,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391794,290015,NULL,RHEOTEC CAC (PLUS),6,11,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391795,290016,NULL,RHEOTEC CAC (PLUS),10,11,NULL,250,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391796,290016,NULL,FEEDEX HD VSK 40/35,20,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
391781,290005,NULL,AFCICOAL 32-M,250,2,NULL,10000,Fixed,NULL,NULL,NULL,NULL,NULL
391782,290006,NULL,NULL,2,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391783,290007,NULL,SMART CUP HC,10,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391784,290007,NULL,MINI THERMOCOUPLE,20,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391785,290008,NULL,PAINT,20,25,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391786,290009,NULL,BLACK PAINTS,57,25,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391787,290010,NULL,INSULATING SLEEVE,100,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391788,290011,NULL,CLEANAL 6 & 75,20,2,NULL,1000,Fixed,NULL,NULL,NULL,NULL,NULL
391789,290012,NULL,SLEEVE,86,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391790,290012,NULL,SLEEVE,15,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391791,290013,NULL,SLEEVE,38,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391792,290014,NULL,ISOMOL 7800,30,25,NULL,900,Fixed,NULL,NULL,NULL,NULL,NULL
391793,290015,NULL,RHEOTEC 430,100,11,NULL,3150,Fixed,NULL,NULL,NULL,NULL,NULL
391794,290015,NULL,RHEOTEC CAC (PLUS),6,11,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391795,290016,NULL,RHEOTEC CAC (PLUS),10,11,NULL,250,Fixed,NULL,NULL,NULL,NULL,NULL
391796,290016,NULL,FEEDEX HD VSK 40/35,20,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391797,290016,NULL,FEEDEX HD VSK 97/34,28,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391798,290016,NULL,FEEDEX HD VSK 134/34 MH,41,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391799,290016,NULL,FEEDEX HD VS 16,7,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391800,290017,NULL,SLAX 30,20,2,NULL,500,Fixed,NULL,NULL,NULL,NULL,NULL
391801,290018,NULL,FEEDEX HD V 8 L,17,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391802,290019,NULL,KALMIN 100 PLUS KSP 5/11K,67,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391803,290020,NULL,ISOMOL 380 FLO,14,25,NULL,1490,Fixed,NULL,NULL,NULL,NULL,NULL
391804,290020,NULL,ECOLOTEC 750,4,29,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391805,290020,NULL,KALMINEX 2000 PLUS 140X150,31,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391806,290020,NULL,KALMINEX 2000 PLUS 70X100,4,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391807,290020,NULL,KALMINEX 41 N200,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391808,290020,NULL,KALMINEX 2000 PLUS ZP8/11K,0,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391809,290020,NULL,KALMINEX 2000 PLUS 80X100,0,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391810,290020,NULL,KALMINEX 2000 PLUS 130X150,13,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391811,290020,NULL,KALMINEX 2000 PLUS 150X150,10,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391812,290020,NULL,KALMINEX 41 N180,3,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391813,290021,NULL,Panel,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
391814,290022,NULL,CASTING,3,7,NULL,480,Fixed,NULL,NULL,NULL,NULL,NULL
391815,290023,NULL,CASTING,12,7,NULL,343,Fixed,NULL,NULL,NULL,NULL,NULL
391816,290024,NULL,CASTING,38,7,NULL,2257,Fixed,NULL,NULL,NULL,NULL,NULL
391817,290024,NULL,WELDING ROAD BOX,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
