PlaceID,abbreviation,name
1,AANWADI ,AANWADI 
2,AHMEDABAD,AHMEDABAD
3,AHMEDNAGAR,AHMEDNAGAR
4,AINAPUR,AINAPUR
5,AIROLI,AIROLI
6,AKURDI,AKURDI
7,ALANDI,ALANDI
8,AMBAP,AMBAP
9,AMBAP PHATA,AMBAP PHATA
10,AMBAPWADI,AMBAPWADI
11,AMBARNATH -EAST,AMBARNATH -EAST
12,AMBEGAON,AMBEGAON
13,AMBEGAON BK,AMBEGAON BK
14,AMBEGAON KH,AMBEGAON KH
15,AMBERNATH,AMBERNATH
16,AMBERVET,AMBERVET
17,ANDHALI,ANDHALI
18,ANEWADI,ANEWADI
19,ARAG,ARAG
20,ASAWALEWADI,ASAWALEWADI
21,ASHTA,ASHTA
22,ASTA,ASTA
23,ATHANI,ATHANI
24,AUNDH,AUNDH
25,AURANGABAD,AURANGABAD
26,AWHALWADI,AWHALWADI
27,BAGANI,BAGANI
28,BALAJINAGAR,BALAJINAGAR
29,BALEWADI,BALEWADI
30,BAMBAWADE,BAMBAWADE
31,BANER,BANER
32,BARAMATI,BARAMATI
33,BAVDHAN,BAVDHAN
34,BAWADA,BAWADA
35,BEBEDOVHAL,BEBEDOVHAL
36,BEBEWADI,BEBEWADI
37,BEDKIHAL,BEDKIHAL
38,BELGAUM,BELGAUM
39,BELGAVI,BELGAVI
40,BHADOLE,BHADOLE
41,BHAMBOLI,BHAMBOLI
42,BHANDGAON,BHANDGAON
43,BHANYANALAY,BHANYANALAY
44,BHARE,BHARE
45,BHATGHAR,BHATGHAR
46,BHAWANI PETH,BHAWANI PETH
47,BHILAREWADI,BHILAREWADI
48,BHIMA-KOREGAON,BHIMA-KOREGAON
49,BHIWANDI ,BHIWANDI 
50,BHOR,BHOR
51,BHOSARI,BHOSARI
52,BHUGAON,BHUGAON
53,BHUINJ,BHUINJ
54,BHUYE,BHUYE
55,BIBEWADI,BIBEWADI
56,BOPODI,BOPODI
57,BORGON,BORGON
58,BORIEANDI,BORIEANDI
59,BUDHWAR PETH,BUDHWAR PETH
60,BURLI,BURLI
61,CHAKAN,CHAKAN
62,CHANDANNAGAR,CHANDANNAGAR
63,CHANDGADH,CHANDGADH
64,CHANDRAPUR,CHANDRAPUR
65,CHARHOLI,CHARHOLI
66,CHICHWAD,CHICHWAD
67,CHIKALI-PUNE,CHIKALI-PUNE
68,CHIKKODI,CHIKKODI
69,CHIMBALI,CHIMBALI
70,CHINCHOLI,CHINCHOLI
71,CHINCHWAD,CHINCHWAD
72,CHIPRI,CHIPRI
73,CHOVISWADI,CHOVISWADI
74,CIKHALI,CIKHALI
75,COIMBATOURE,COIMBATOURE
76,D T C ,D T C 
77,DAPODI,DAPODI
78,DATTANAGAR,DATTANAGAR
79,DAUND,DAUND
80,DEHU GAON,DEHU GAON
81,DEVACHI URALI,DEVACHI URALI
82,DFGDFG,DFGDFG
83,DFGDFGDFG,DFGDFGDFG
84,DGDGF,DGDGF
85,DHANKAWADI,DHANKAWADI
86,DHANORE,DHANORE
87,DHARWADI,DHARWADI
88,DHAVALI,DHAVALI
89,DHAWARWADI,DHAWARWADI
90,DHAYRI,DHAYRI
91,DHINGRAJWADI,DHINGRAJWADI
92,DIGHI,DIGHI
93,DIGRAJ,DIGRAJ
94,DO0OR,DO0OR
95,DOMBIVALLI,DOMBIVALLI
96,DOMBIVLI,DOMBIVLI
97,DOOR,DOOR
98,DOOT,DOOT
99,DTC SHIROLI,DTC SHIROLI
100,DTCO KHED SHIVAPUR,DTCO KHED SHIVAPUR
101,DTCO KUPWAD,DTCO KUPWAD
102,DUDHGAON,DUDHGAON
103,ERANDWANA,ERANDWANA
104,FURSUNGI,FURSUNGI
105,GADHINGLAJ,GADHINGLAJ
106,GAD-MUDSHINGI,GAD-MUDSHINGI
107,GANDHINAGAR,GANDHINAGAR
108,GANGADHAM,GANGADHAM
109,GANGANAGAR ,GANGANAGAR 
110,GAUDDARA,GAUDDARA
111,GHUNKI,GHUNKI
112,GOA,GOA
113,GODOWN,GODOWN
114,GOKUL NAGAR,GOKUL NAGAR
115,GOKUL SHIRGAON,GOKUL SHIRGAON
116,GOREGAON,GOREGAON
117,GORHE KURAD,GORHE KURAD
118,GUDMUD SHUNGI,GUDMUD SHUNGI
119,GUJARWADI,GUJARWADI
120,GULTEKADI,GULTEKADI
121,GURUWAR PETH,GURUWAR PETH
122,HADAPSAR,HADAPSAR
123,HADPSAR ,HADPSAR 
124,HANDEWADI,HANDEWADI
125,HATKANANGLE,HATKANANGLE
126,HAVLI,HAVLI
127,HEGDE,HEGDE
128,HERLE,HERLE
129,HINJAWADI,HINJAWADI
130,HINJEWADI PHASE II ,HINJEWADI PHASE II 
131,HIVARE,HIVARE
132,HOLKARWADI,HOLKARWADI
133,HUPRI,HUPRI
134,ICHALKARANJI,ICHALKARANJI
135,INGALI,INGALI
136,ISLAMPUR,ISLAMPUR
137,J. M. ROAD,J. M. ROAD
138,JADHAVWADI,JADHAVWADI
139,JALGAON,JALGAON
140,JAMBE,JAMBE
141,JAMBHALI,JAMBHALI
142,JAMBHULWADI,JAMBHULWADI
143,JAMKHANDI,JAMKHANDI
144,JANGLI MAHARAJ RD,JANGLI MAHARAJ RD
145,JAYALAGPUR,JAYALAGPUR
146,JAYSINGPUR,JAYSINGPUR
147,JEJURI,JEJURI
148,JIGANI,JIGANI
149,JYOTIBA NAGAR,JYOTIBA NAGAR
150,KADAMWDI,KADAMWDI
151,KADEGAON,KADEGAON
152,KADEPUR,KADEPUR
153,KADOLI,KADOLI
154,KAGAL,KAGAL
155,KALAMBA,KALAMBA
156,KALAMBOLI,KALAMBOLI
157,KALAVDE,KALAVDE
158,KALAVI KATTI,KALAVI KATTI
159,KALEWADI PHATA,KALEWADI PHATA
